Rk,Player,Nation,Pos,Squad,Comp,Born,MP,Starts,Min,90s,Gls,Ast,G+A,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Ast,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Cmp_P,Att_P,SCA,SCA90,GCA,Err,Tkl,TklW,Blocks,Int,Tkl+Int,Clr
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,1,8,3,0,73,2,19,40,15,50,63,2,2.09,0,0,2,2,3,1,3,0
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,24,0,4,4,16,14,18,0,0,0,0,1,1,1,0,1,0
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,2003,1,1,65,0.7,0,0,0,0,1,0,0.1,0.1,0,0.1,3,2,3,0,36,1,8,19,9,17,29,0,0,0,0,3,2,1,1,4,0
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,2004,6,0,88,1,0,0,0,0,1,0,0.1,0.1,0,0.1,3,4,1,0,65,8,37,22,7,36,46,1,1.02,0,0,4,2,2,1,5,3
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,1,0,2,2,0,0,0,0,1,1,0,0,1,0
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,1987,12,11,976,10.8,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0,630,124,405,213,14,432,498,6,0.55,0,1,17,11,24,13,30,56
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,1999,23,23,2042,22.7,6,1,7,3,2,0,5.6,2.4,2.8,5.2,84,155,90,0.04,1489,21,197,853,469,1037,1259,69,3.04,2,1,35,24,16,18,53,18
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,1999,9,7,609,6.8,0,0,0,0,2,0,0,0,0,0,2,26,3,0,410,56,199,194,19,291,332,3,0.44,0,1,17,12,6,13,30,39
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,1993,16,11,934,10.4,2,2,4,0,1,0,1.2,1.2,1.4,2.6,26,29,58,0.19,565,39,163,222,184,320,433,29,2.79,2,0,24,16,17,11,35,28
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.1,0.1,4,6,18,0.63,97,0,18,45,35,77,86,3,1.91,1,0,2,1,1,1,3,0
11,Abel,es ESP,DF,Osasuna,es La Liga,2000,25,14,1478,16.4,2,0,2,0,2,0,0.4,0.4,0.7,1.1,37,56,57,0,920,48,282,420,227,534,747,21,1.28,2,2,38,26,22,13,51,46
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,2002,7,4,263,2.9,0,0,0,0,1,0,0,0,0,0.1,2,6,2,0,87,6,21,56,10,36,61,3,1.03,0,0,6,4,3,0,6,5
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,2003,24,23,1900,21.1,7,1,8,1,2,0,7.1,6.3,2.7,9,49,33,125,0.05,626,24,55,258,327,260,375,48,2.27,5,1,10,4,10,2,12,26
15,Abner,br BRA,DF,Lyon,fr Ligue 1,2000,14,9,820,9.1,1,1,2,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,593,30,135,278,182,420,502,18,1.98,1,0,20,14,12,5,25,32
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,2000,23,22,1827,20.3,7,2,9,1,4,0,10.1,8.5,1.5,10,29,22,152,0.1,582,5,55,188,344,212,335,32,1.58,7,0,19,11,16,6,25,8
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,1999,24,24,2028,22.5,0,1,1,0,12,0,0.8,0.8,0.2,1,15,75,4,0.04,1083,134,565,477,51,635,833,23,1.02,3,1,29,19,20,35,64,117
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,1997,21,9,926,10.3,2,2,4,1,0,0,6.1,4.4,1.3,5.7,5,16,50,0.19,269,13,32,125,112,111,160,22,2.14,4,0,14,10,8,2,16,8
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,3,4,6,0,0,0,0,0,0,0,0,0,0
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,1988,13,13,1030,11.4,0,1,1,0,0,0,0.3,0.3,0.3,0.7,8,39,6,0.09,907,84,375,488,46,742,792,9,0.79,1,0,13,10,14,19,32,51
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,2006,3,2,168,1.9,0,0,0,0,0,0,0.2,0.2,0,0.2,0,8,0,0,135,7,47,80,8,103,122,2,1.07,0,0,2,1,1,1,3,2
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,3,0,2,3,0,0,0,0,0,0,0,0,0,1
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,2000,15,13,1075,11.9,3,1,4,0,2,0,4.3,4.3,1,5.3,11,6,45,0.08,251,5,19,118,117,112,179,25,2.09,5,1,4,3,2,1,5,5
25,Che Adams,sct SCO,FW,Torino,it Serie A,1996,25,20,1733,19.3,7,3,10,0,1,0,4.9,4.9,1.8,6.7,17,26,103,0.16,559,10,37,278,252,288,401,48,2.49,5,0,8,3,7,1,9,11
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,1999,17,11,1077,12,0,3,3,0,4,0,1.1,1.1,0.7,1.8,7,45,5,0.25,720,30,187,415,124,464,553,21,1.75,4,0,55,35,14,26,81,26
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,2001,17,11,969,10.8,2,1,3,0,3,1,4,4,1.4,5.4,5,7,52,0.09,332,13,35,164,138,129,204,22,2.04,3,0,3,0,9,6,9,13
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,1997,14,10,996,11.1,1,1,2,0,2,0,0.8,0.8,0.2,1.1,5,27,1,0.09,968,130,472,482,15,803,876,10,0.9,1,0,13,9,7,7,20,47
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,2,8,4,2,8,10,0,0,0,0,1,1,0,0,1,2
